COUNTRY,GDP (BILLIONS),CODE,SAD
Puerto Rico,93.52,PRI,0
Qatar,212,QAT,0
Romania,199,ROU,0
Russia,2057,RUS,0
Rwanda,8,RWA,0
Saint Kitts and Nevis,0.81,KNA,0
Saint Lucia,1.35,LCA,0
Saint Martin,0.56,MAF,0
Saint Pierre and Miquelon,0.22,SPM,0
Saint Vincent and the Grenadines,0.75,VCT,0
Samoa,0.83,WSM,0
San Marino,1.86,SMR,0
Sao Tome and Principe,0.36,STP,0
Saudi Arabia,777.9,SAU,0
Senegal,15.88,SEN,0
Serbia,42.65,SRB,0
Seychelles,1.47,SYC,0
Sierra Leone,5.41,SLE,0
Singapore,307.9,SGP,0
Sint Maarten,304.1,SXM,0
Slovakia,99.75,SVK,0
Slovenia,49.93,SVN,0
Solomon Islands,1.16,SLB,0
Somalia,2.37,SOM,0
South Africa,341.2,ZAF,0
South Sudan,11.89,SSD,0
Spain,1400,ESP,1
Sri Lanka,71.57,LKA,0
Sudan,70.03,SDN,0
Suriname,5.27,SUR,0
Swaziland,3.84,SWZ,0
Sweden,559.1,SWE,0
Switzerland,679,CHE,0
Syria,64.7,SYR,0
Taiwan,529.5,TWN,0
Tajikistan,9.16,TJK,0
Tanzania,36.62,TZA,1
Thailand,373.8,THA,0
Timor-Leste,4.51,TLS,0
Togo,4.84,TGO,0
Tonga,0.49,TON,0
Trinidad and Tobago,29.63,TTO,0
Tunisia,49.12,TUN,0
Turkey,813.3,TUR,0
Turkmenistan,43.5,TKM,0
Tuvalu,0.04,TUV,0
Uganda,26.09,UGA,0
Ukraine,134.9,UKR,0
United Arab Emirates,416.4,ARE,0
United Kingdom,2848,GBR,0
United States,17420,USA,2
Uruguay,55.6,URY,0
Uzbekistan,63.08,UZB,0
Vanuatu,0.82,VUT,0
Venezuela,209.2,VEN,0
Vietnam,187.8,VNM,0
Virgin Islands,5.08,VGB,0
West Bank,6.64,WBG,0
Yemen,45.45,YEM,0
Zambia,25.61,ZMB,0
Zimbabwe,13.74,ZWE,0
